data,ultima_atualizacao,municipio,codigoIBGE,mesorregiao,microrregiao,semanaEpidemiologica,populacao,confirmadosPorDia,confirmadosAcumulados,obitosPorDia,ObitosAcumulados,letalidade,confirmadosPor100MilHabitantes,obitosPor100MilHabitantes,recuperadosPorDia,recuperadosAcumulados,suspeitos,descartadosPorDia,descartadosAcumulados,testesPorDia,testesAcumulados,utiDisponiveis,utiOcupadas,utiTotal,enfermariaDisponiveis,enfermariaOcupadas,enfermariaTotal,leitosDisponiveisTotal,leitosOcupadosTotal,leitosTotal
2020-03-27,False,Campina Grande,2504009,Agreste,Campina Grande,13,385213,1,1,0,0,0,0.259596639,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2020-03-28,False,Campina Grande,2504009,Agreste,Campina Grande,13,385213,1,2,0,0,0,0.519193277,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
2020-04-10,False,Campina Grande,2504009,Agreste,Campina Grande,15,385213,1,3,0,0,0,0.778789916,0,3,3,47,118,118,119,121,0,0,0,0,0,0,0,0,0
2020-04-18,False,Campina Grande,2504009,Agreste,Campina Grande,16,385213,9,12,0,0,0,3.115159665,0,3,6,34,44,162,53,174,0,0,0,0,0,0,0,0,0
2020-04-23,False,Campina Grande,2504009,Agreste,Campina Grande,17,385213,18,30,1,1,0.033333333,7.787899162,0.259596639,0,6,79,40,202,58,232,0,0,0,0,0,0,0,0,0
2020-04-28,False,Campina Grande,2504009,Agreste,Campina Grande,18,385213,15,45,0,1,0.022222222,11.68184874,0.259596639,5,11,91,74,276,89,321,0,0,0,0,0,0,0,0,0
2020-05-13,False,Campina Grande,2504009,Agreste,Campina Grande,20,385213,110,155,4,5,0.032258065,40.23747901,1.297983194,23,34,253,215,491,325,646,0,0,0,0,0,0,0,0,0
2020-05-19,False,Campina Grande,2504009,Agreste,Campina Grande,21,385213,171,326,7,12,0.036809816,84.62850423,3.115159665,41,75,349,29,520,200,846,0,0,0,0,0,0,0,0,0
2020-05-20,False,Campina Grande,2504009,Agreste,Campina Grande,21,385213,9,335,0,12,0.035820896,86.96487398,3.115159665,1,76,372,9,529,18,864,0,0,0,0,0,0,0,0,0
2020-05-21,False,Campina Grande,2504009,Agreste,Campina Grande,21,385213,86,421,0,12,0.028503563,109.2901849,3.115159665,0,76,382,1,530,87,951,0,0,0,0,0,0,0,0,0
2020-05-22,False,Campina Grande,2504009,Agreste,Campina Grande,21,385213,169,590,2,14,0.023728814,153.1620169,3.634352942,13,89,412,0,530,169,1120,0,0,0,0,0,0,0,0,0
2020-05-23,False,Campina Grande,2504009,Agreste,Campina Grande,21,385213,123,713,1,15,0.021037868,185.0924034,3.893949581,0,89,325,3,533,126,1246,0,0,0,0,0,0,0,0,0
2020-05-25,False,Campina Grande,2504009,Agreste,Campina Grande,22,385213,157,870,4,19,0.02183908,225.8490757,4.932336136,53,142,448,6,539,163,1409,0,0,0,0,0,0,0,0,0
2020-05-26,False,Campina Grande,2504009,Agreste,Campina Grande,22,385213,66,936,3,22,0.023504274,242.9824539,5.711126052,0,142,488,151,690,217,1626,0,0,0,0,0,0,0,0,0
2020-05-27,False,Campina Grande,2504009,Agreste,Campina Grande,22,385213,89,1025,3,25,0.024390244,266.0865547,6.489915969,217,359,889,856,1546,945,2571,0,0,0,0,0,0,0,0,0
2020-05-28,False,Campina Grande,2504009,Agreste,Campina Grande,22,385213,155,1180,3,28,0.023728814,306.3240337,7.268705885,214,573,888,10,1556,165,2736,0,0,0,0,0,0,0,0,0
2020-05-29,False,Campina Grande,2504009,Agreste,Campina Grande,22,385213,108,1288,1,29,0.022515528,334.3604707,7.528302524,54,627,885,27,1583,135,2871,0,0,0,0,0,0,0,0,0
2020-05-30,False,Campina Grande,2504009,Agreste,Campina Grande,22,385213,195,1483,0,29,0.019554956,384.9818153,7.528302524,341,968,1678,576,2159,771,3642,0,0,0,0,0,0,0,0,0
2020-05-31,False,Campina Grande,2504009,Agreste,Campina Grande,23,385213,36,1519,0,29,0.019091508,394.3272943,7.528302524,130,1098,1681,8,2167,44,3686,0,0,0,0,0,0,0,0,0
