country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-02-15,19,18,80,13,3,0
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-02-16,9,20,30,11,0,4
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-02-17,-3,4,-6,10,15,0
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-02-18,-3,5,-7,7,15,-1
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-02-19,-3,5,0,10,14,-1
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-02-20,9,11,-2,9,13,-1
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-02-21,10,20,-8,13,15,-2
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-02-22,7,14,-1,0,-8,-1
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-02-23,4,4,-17,-13,-10,2
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-02-24,-29,-32,-25,-34,-60,9
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-02-25,-30,-39,37,-30,-64,3
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-02-26,-26,-9,-19,-12,-23,2
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-02-27,-11,5,-16,-1,11,0
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-02-28,-1,15,-3,1,15,0
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-02-29,11,30,56,3,4,2
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-03-01,-12,23,-25,-11,-3,8
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-03-02,-6,12,-20,10,17,0
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-03-03,-6,13,-9,8,17,-1
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-03-04,-8,10,-13,10,16,-1
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-03-05,-2,16,-4,11,16,-2
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-03-06,6,23,-5,12,19,-1
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-03-07,21,36,19,9,5,1
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-03-08,16,41,9,9,2,4
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-03-09,-5,12,-11,12,18,-1
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-03-10,-6,13,-5,14,19,-2
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-03-11,-10,9,-4,13,16,-2
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-03-12,-9,6,-12,8,16,-1
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-03-13,-2,16,-12,11,19,-1
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-03-14,8,29,16,7,6,1
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-03-15,0,28,-4,4,1,5
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-03-16,-12,11,-17,11,17,-1
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-03-17,-18,20,-23,-1,12,1
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-03-18,-27,13,-27,-11,-7,6
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-03-19,-33,10,-33,-19,-13,8
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-03-20,-37,18,-41,-22,-15,10
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-03-21,-49,13,-58,-28,-19,12
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-03-22,-72,-16,-73,-47,-31,19
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-03-23,-76,-28,-76,-52,-46,21
BR,Brazil,State of Paraíba,Campina Grande,,,,2020-03-24,-77,-30,-49,-53,-51,20
