data,classificacao,faixa_etaria,feminino,masculino,total,ultima_atualizacao
2020-04-13,confirmados,00 a 19,0,3,3,False
2020-04-13,confirmados,20 a 29,12,2,14,False
2020-04-13,confirmados,30 a 39,19,19,38,False
2020-04-13,confirmados,40 a 49,11,16,27,False
2020-04-13,confirmados,50 a 59,12,10,22,False
2020-04-13,confirmados,60 a 69,3,8,11,False
2020-04-13,confirmados,70 a 79,2,3,5,False
2020-04-13,confirmados,80 ou mais,12,4,15,False
2020-04-21,confirmados,00 a 19,2,3,5,False
2020-04-21,confirmados,20 a 29,18,8,26,False
2020-04-21,confirmados,30 a 39,38,39,77,False
2020-04-21,confirmados,40 a 49,26,33,59,False
2020-04-21,confirmados,50 a 59,21,17,38,False
2020-04-21,confirmados,60 a 69,3,17,20,False
2020-04-21,confirmados,70 a 79,5,8,13,False
2020-04-21,confirmados,80 ou mais,17,8,25,False
2020-04-28,confirmados,00 a 19,7,5,12,False
2020-04-28,confirmados,20 a 29,27,23,50,False
2020-04-28,confirmados,30 a 39,62,59,121,False
2020-04-28,confirmados,40 a 49,56,49,105,False
2020-04-28,confirmados,50 a 59,37,30,67,False
2020-04-28,confirmados,60 a 69,5,26,31,False
2020-04-28,confirmados,70 a 79,11,14,25,False
2020-04-28,confirmados,80 ou mais,18,15,33,False
2020-05-05,confirmados,05 a 09,0,0,0,True
2020-05-05,confirmados,10 a 09,7,7,14,True
2020-05-05,confirmados,20 a 29,53,42,95,True
2020-05-05,confirmados,30 a 39,93,90,183,True
2020-05-05,confirmados,40 a 49,73,76,149,True
2020-05-05,confirmados,50 a 59,53,56,109,True
2020-05-05,confirmados,60 a 69,20,35,55,True
2020-05-05,confirmados,70 a 79,13,21,34,True
2020-05-05,confirmados,80 ou mais,20,14,34,True
2020-03-31,mortos,00 a 19,0,0,0,False
2020-03-31,mortos,20 a 29,0,0,0,False
2020-03-31,mortos,30 a 39,0,1,1,False
2020-03-31,mortos,40 a 49,0,0,0,False
2020-03-31,mortos,50 a 59,0,0,0,False
2020-03-31,mortos,60 a 69,0,0,0,False
2020-03-31,mortos,70 a 79,0,0,0,False
2020-03-31,mortos,80 ou mais,0,0,0,False
2020-04-01,mortos,00 a 19,0,0,0,False
2020-04-01,mortos,20 a 29,0,0,0,False
2020-04-01,mortos,30 a 39,0,1,1,False
2020-04-01,mortos,40 a 49,0,0,0,False
2020-04-01,mortos,50 a 59,0,0,0,False
2020-04-01,mortos,60 a 69,0,0,0,False
2020-04-01,mortos,70 a 79,0,0,0,False
2020-04-01,mortos,80 ou mais,0,0,0,False
2020-04-02,mortos,00 a 19,0,0,0,False
2020-04-02,mortos,20 a 29,0,0,0,False
2020-04-02,mortos,30 a 39,0,1,1,False
2020-04-02,mortos,40 a 49,0,0,0,False
2020-04-02,mortos,50 a 59,0,0,0,False
2020-04-02,mortos,60 a 69,0,0,0,False
2020-04-02,mortos,70 a 79,0,0,0,False
2020-04-02,mortos,80 ou mais,0,0,0,False
2020-04-03,mortos,00 a 19,0,0,0,False
2020-04-03,mortos,20 a 29,0,0,0,False
2020-04-03,mortos,30 a 39,0,1,1,False
2020-04-03,mortos,40 a 49,0,1,1,False
2020-04-03,mortos,50 a 59,0,0,0,False
2020-04-03,mortos,60 a 69,0,0,0,False
2020-04-03,mortos,70 a 79,0,0,0,False
2020-04-03,mortos,80 ou mais,1,0,1,False
2020-04-04,mortos,00 a 19,0,0,0,False
2020-04-04,mortos,20 a 29,0,0,0,False
2020-04-04,mortos,30 a 39,0,1,1,False
2020-04-04,mortos,40 a 49,0,1,1,False
2020-04-04,mortos,50 a 59,0,0,0,False
2020-04-04,mortos,60 a 69,0,0,0,False
2020-04-04,mortos,70 a 79,0,0,0,False
2020-04-04,mortos,80 ou mais,1,0,1,False
2020-04-05,mortos,00 a 19,0,0,0,False
2020-04-05,mortos,20 a 29,1,0,1,False
2020-04-05,mortos,30 a 39,0,1,1,False
2020-04-05,mortos,40 a 49,0,1,1,False
2020-04-05,mortos,50 a 59,0,0,0,False
2020-04-05,mortos,60 a 69,0,0,0,False
2020-04-05,mortos,70 a 79,0,0,0,False
2020-04-05,mortos,80 ou mais,1,0,1,False
2020-04-06,mortos,00 a 19,0,0,0,False
2020-04-06,mortos,20 a 29,1,0,1,False
2020-04-06,mortos,30 a 39,0,1,1,False
2020-04-06,mortos,40 a 49,0,1,1,False
2020-04-06,mortos,50 a 59,0,0,0,False
2020-04-06,mortos,60 a 69,0,0,0,False
2020-04-06,mortos,70 a 79,0,0,0,False
2020-04-06,mortos,80 ou mais,1,0,1,False
2020-04-07,mortos,00 a 19,0,0,0,False
2020-04-07,mortos,20 a 29,1,0,1,False
2020-04-07,mortos,30 a 39,0,1,1,False
2020-04-07,mortos,40 a 49,0,1,1,False
2020-04-07,mortos,50 a 59,0,0,0,False
2020-04-07,mortos,60 a 69,0,0,0,False
2020-04-07,mortos,70 a 79,0,0,0,False
2020-04-07,mortos,80 ou mais,1,0,1,False
2020-04-08,mortos,00 a 19,0,0,0,False
2020-04-08,mortos,20 a 29,1,0,1,False
2020-04-08,mortos,30 a 39,0,2,2,False
2020-04-08,mortos,40 a 49,0,1,1,False
2020-04-08,mortos,50 a 59,1,0,1,False
2020-04-08,mortos,60 a 69,0,0,0,False
2020-04-08,mortos,70 a 79,0,1,1,False
2020-04-08,mortos,80 ou mais,1,0,1,False
2020-04-09,mortos,00 a 19,0,0,0,False
2020-04-09,mortos,20 a 29,1,0,1,False
2020-04-09,mortos,30 a 39,1,2,3,False
2020-04-09,mortos,40 a 49,0,1,1,False
2020-04-09,mortos,50 a 59,1,0,1,False
2020-04-09,mortos,60 a 69,0,1,1,False
2020-04-09,mortos,70 a 79,0,1,1,False
2020-04-09,mortos,80 ou mais,1,2,3,False
2020-04-10,mortos,00 a 19,0,0,0,False
2020-04-10,mortos,20 a 29,1,0,1,False
2020-04-10,mortos,30 a 39,1,2,3,False
2020-04-10,mortos,40 a 49,0,1,1,False
2020-04-10,mortos,50 a 59,1,0,1,False
2020-04-10,mortos,60 a 69,0,1,1,False
2020-04-10,mortos,70 a 79,0,1,1,False
2020-04-10,mortos,80 ou mais,1,2,3,False
2020-04-11,mortos,00 a 19,0,0,0,False
2020-04-11,mortos,20 a 29,1,0,1,False
2020-04-11,mortos,30 a 39,1,2,3,False
2020-04-11,mortos,40 a 49,0,1,1,False
2020-04-11,mortos,50 a 59,1,0,1,False
2020-04-11,mortos,60 a 69,0,1,1,False
2020-04-11,mortos,70 a 79,0,1,1,False
2020-04-11,mortos,80 ou mais,2,3,5,False
2020-04-12,mortos,00 a 19,0,0,0,False
2020-04-12,mortos,20 a 29,1,0,1,False
2020-04-12,mortos,30 a 39,1,2,3,False
2020-04-12,mortos,40 a 49,0,1,1,False
2020-04-12,mortos,50 a 59,1,0,1,False
