data,ultima_atualizacao,municipio,codigo,mesorregiao,microrregiao,confirmadosAcumulados,mortesAcumuladas
2020-06-04,True,Água Branca,2500106,SERTAO PARAIBANO,SERRA DO TEIXEIRA,4,1
2020-06-04,True,Aguiar,2500205,SERTAO PARAIBANO,PIANCO,1,0
2020-06-04,True,Alagoa Grande,2500304,AGRESTE PARAIBANO,BREJO PARAIBANO,89,1
2020-06-04,True,Alagoa Nova,2500403,AGRESTE PARAIBANO,BREJO PARAIBANO,50,2
2020-06-04,True,Alagoinha,2500502,AGRESTE PARAIBANO,GUARABIRA,132,0
2020-06-04,True,Alcantil,2500536,BORBOREMA,CARIRI ORIENTAL,4,0
2020-06-04,True,Algodão de Jandaíra,2500577,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,0,0
2020-06-04,True,Alhandra,2500601,MATA PARAIBANA,LITORAL SUL,172,4
2020-06-04,True,Amparo,2500734,BORBOREMA,CARIRI OCIDENTAL,12,0
2020-06-04,True,Aparecida,2500775,SERTAO PARAIBANO,SOUSA,8,0
2020-06-04,True,Araçagi,2500809,AGRESTE PARAIBANO,GUARABIRA,45,0
2020-06-04,True,Arara,2500908,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,21,0
2020-06-04,True,Araruna,2501005,AGRESTE PARAIBANO,CURIMATAU ORIENTAL,4,0
2020-06-04,True,Areia,2501104,AGRESTE PARAIBANO,BREJO PARAIBANO,66,1
2020-06-04,True,Areia de Baraúnas,2501153,SERTAO PARAIBANO,PATOS,1,0
2020-06-04,True,Areial,2501203,AGRESTE PARAIBANO,ESPERANCA,13,1
2020-06-04,True,Aroeiras,2501302,AGRESTE PARAIBANO,UMBUZEIRO,32,0
2020-06-04,True,Assunção,2501351,BORBOREMA,CARIRI OCIDENTAL,18,0
2020-06-04,True,Baía da Traição,2501401,MATA PARAIBANA,LITORAL NORTE,64,1
2020-06-04,True,Bananeiras,2501500,AGRESTE PARAIBANO,BREJO PARAIBANO,36,0
2020-06-04,True,Baraúna,2501534,BORBOREMA,SERIDO ORIENTAL PARAIBANO,42,0
2020-06-04,True,Barra de Santana,2501575,BORBOREMA,CARIRI ORIENTAL,19,0
2020-06-04,True,Barra de Santa Rosa,2501609,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,10,0
2020-06-04,True,Barra de São Miguel,2501708,BORBOREMA,CARIRI ORIENTAL,3,1
2020-06-04,True,Bayeux,2501807,MATA PARAIBANA,JOAO PESSOA,416,26
2020-06-04,True,Belém,2501906,AGRESTE PARAIBANO,GUARABIRA,60,0
2020-06-04,True,Belém do Brejo do Cruz,2502003,SERTAO PARAIBANO,CATOLE DO ROCHA,2,0
2020-06-04,True,Bernardino Batista,2502052,SERTAO PARAIBANO,CAJAZEIRAS,1,0
2020-06-04,True,Boa Ventura,2502102,SERTAO PARAIBANO,ITAPORANGA,1,0
2020-06-04,True,Boa Vista,2502151,AGRESTE PARAIBANO,CAMPINA GRANDE,35,0
2020-06-04,True,Bom Jesus,2502201,SERTAO PARAIBANO,CAJAZEIRAS,1,0
2020-06-04,True,Bom Sucesso,2502300,SERTAO PARAIBANO,CATOLE DO ROCHA,0,0
2020-06-04,True,Bonito de Santa Fé,2502409,SERTAO PARAIBANO,CAJAZEIRAS,1,0
2020-06-04,True,Boqueirão,2502508,BORBOREMA,CARIRI ORIENTAL,33,1
2020-06-04,True,Borborema,2502706,AGRESTE PARAIBANO,BREJO PARAIBANO,2,0
2020-06-04,True,Brejo do Cruz,2502805,SERTAO PARAIBANO,CATOLE DO ROCHA,8,1
2020-06-04,True,Brejo dos Santos,2502904,SERTAO PARAIBANO,CATOLE DO ROCHA,0,0
2020-06-04,True,Caaporã,2503001,MATA PARAIBANA,LITORAL SUL,431,5
2020-06-04,True,Cabaceiras,2503100,BORBOREMA,CARIRI ORIENTAL,1,0
2020-06-04,True,Cabedelo,2503209,MATA PARAIBANA,JOAO PESSOA,1003,8
2020-06-04,True,Cachoeira dos Índios,2503308,SERTAO PARAIBANO,CAJAZEIRAS,9,1
2020-06-04,True,Cacimba de Areia,2503407,SERTAO PARAIBANO,PATOS,5,0
2020-06-04,True,Cacimba de Dentro,2503506,AGRESTE PARAIBANO,CURIMATAU ORIENTAL,29,0
2020-06-04,True,Cacimbas,2503555,SERTAO PARAIBANO,SERRA DO TEIXEIRA,5,0
2020-06-04,True,Caiçara,2503605,AGRESTE PARAIBANO,GUARABIRA,28,1
2020-06-04,True,Cajazeiras,2503704,SERTAO PARAIBANO,CAJAZEIRAS,126,5
2020-06-04,True,Cajazeirinhas,2503753,SERTAO PARAIBANO,SOUSA,1,0
2020-06-04,True,Caldas Brandão,2503803,AGRESTE PARAIBANO,ITABAIANA,18,0
2020-06-04,True,Camalaú,2503902,BORBOREMA,CARIRI OCIDENTAL,0,0
2020-06-04,True,Campina Grande,2504009,AGRESTE PARAIBANO,CAMPINA GRANDE,2006,40
2020-06-04,True,Capim,2504033,MATA PARAIBANA,LITORAL NORTE,44,1
2020-06-04,True,Caraúbas,2504074,BORBOREMA,CARIRI ORIENTAL,1,0
2020-06-04,True,Carrapateira,2504108,SERTAO PARAIBANO,CAJAZEIRAS,1,0
2020-06-04,True,Casserengue,2504157,AGRESTE PARAIBANO,CURIMATAU ORIENTAL,19,0
2020-06-04,True,Catingueira,2504207,SERTAO PARAIBANO,PIANCO,5,0
2020-06-04,True,Catolé do Rocha,2504306,SERTAO PARAIBANO,CATOLE DO ROCHA,60,2
2020-06-04,True,Caturité,2504355,BORBOREMA,CARIRI ORIENTAL,16,0
2020-06-04,True,Conceição,2504405,SERTAO PARAIBANO,ITAPORANGA,7,0
2020-06-04,True,Condado,2504504,SERTAO PARAIBANO,SOUSA,43,0
2020-06-04,True,Conde,2504603,MATA PARAIBANA,JOAO PESSOA,114,2
2020-06-04,True,Congo,2504702,BORBOREMA,CARIRI OCIDENTAL,11,1
2020-06-04,True,Coremas,2504801,SERTAO PARAIBANO,PIANCO,17,0
2020-06-04,True,Coxixola,2504850,BORBOREMA,CARIRI OCIDENTAL,7,0
2020-06-04,True,Cruz do Espírito Santo,2504900,MATA PARAIBANA,SAPE,128,8
2020-06-04,True,Cubati,2505006,BORBOREMA,SERIDO ORIENTAL PARAIBANO,3,0
2020-06-04,True,Cuité,2505105,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,10,1
2020-06-04,True,Cuité de Mamanguape,2505238,MATA PARAIBANA,LITORAL NORTE,10,0
2020-06-04,True,Cuitegi,2505204,AGRESTE PARAIBANO,GUARABIRA,54,1
2020-06-04,True,Curral de Cima,2505279,MATA PARAIBANA,LITORAL NORTE,10,0
2020-06-04,True,Curral Velho,2505303,SERTAO PARAIBANO,ITAPORANGA,1,0
2020-06-04,True,Damião,2505352,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,2,0
2020-06-04,True,Desterro,2505402,SERTAO PARAIBANO,SERRA DO TEIXEIRA,11,0
