data,ultima_atualizacao,microrregiao,mesorregiao,confirmadosAcumulados,mortesAcumuladas
2020-05-31,True,BREJO PARAIBANO,AGRESTE PARAIBANO,226,5
2020-05-31,True,CAJAZEIRAS,SERTAO PARAIBANO,121,8
2020-05-31,True,CAMPINA GRANDE,AGRESTE PARAIBANO,1812,22
2020-05-31,True,CARIRI OCIDENTAL,BORBOREMA,116,2
2020-05-31,True,CARIRI ORIENTAL,BORBOREMA,74,3
2020-05-31,True,CATOLE DO ROCHA,SERTAO PARAIBANO,7,7
2020-05-31,True,CURIMATAU OCIDENTAL,AGRESTE PARAIBANO,90,2
2020-05-31,True,CURIMATAU ORIENTAL,AGRESTE PARAIBANO,117,1
2020-05-31,True,ESPERANCA,AGRESTE PARAIBANO,74,2
2020-05-31,True,GUARABIRA,AGRESTE PARAIBANO,948,5
2020-05-31,True,ITABAIANA,AGRESTE PARAIBANO,474,4
2020-05-31,True,ITAPORANGA,SERTAO PARAIBANO,24,1
2020-05-31,True,JOAO PESSOA,MATA PARAIBANA,5748,217
2020-05-31,True,LITORAL NORTE,MATA PARAIBANA,384,6
2020-05-31,True,LITORAL SUL,MATA PARAIBANA,804,15
2020-05-31,True,PATOS,SERTAO PARAIBANO,606,22
2020-05-31,True,PIANCO,SERTAO PARAIBANO,57,2
2020-05-31,True,SAPE,MATA PARAIBANA,589,20
2020-05-31,True,SERIDO OCIDENTAL PARAIBANO,BORBOREMA,136,3
2020-05-31,True,SERIDO ORIENTAL PARAIBANO,BORBOREMA,89,0
2020-05-31,True,SERRA DO TEIXEIRA,SERTAO PARAIBANO,69,0
2020-05-31,True,SOUSA,SERTAO PARAIBANO,350,2
2020-05-31,True,UMBUZEIRO,AGRESTE PARAIBANO,72,2
