"data","uf","municipio","confirmadosPorDia","mortesPorDia","atualizacaoRecente","populacaoEstimada","codigo"
"2020-04-22","PB","Alagoa Nova",1,0,"True","20849.0",2500403
"2020-04-22","PB","São João do Rio do Peixe",1,0,"True","18034.0",2500700
"2020-04-22","PB","Barra de São Miguel",1,0,"True","6036.0",2501708
"2020-04-22","PB","Bayeux",10,1,"True","96880.0",2501807
"2020-04-22","PB","Bom Jesus",1,0,"True","2561.0",2502201
"2020-04-22","PB","Igaracy",1,0,"True","6117.0",2502607
"2020-04-22","PB","Cabedelo",15,2,"True","67736.0",2503209
"2020-04-22","PB","Cajazeiras",2,1,"True","61993.0",2503704
"2020-04-22","PB","Campina Grande",24,2,"True","409731.0",2504009
"2020-04-22","PB","Conde",1,0,"True","24670.0",2504603
"2020-04-22","PB","Congo",1,0,"True","4786.0",2504702
"2020-04-22","PB","Coremas",1,0,"True","15445.0",2504801
"2020-04-22","PB","Cruz do Espírito Santo",1,0,"True","17319.0",2504900
"2020-04-22","PB","Itabaiana",1,0,"True","24477.0",2506905
"2020-04-22","PB","Itapororoca",1,0,"True","18664.0",2507101
"2020-04-22","PB","João Pessoa",230,25,"True","809015.0",2507507
"2020-04-22","PB","Junco do Seridó",3,1,"True","7150.0",2507804
"2020-04-22","PB","Patos",8,2,"True","107605.0",2510808
"2020-04-22","PB","Pombal",2,0,"True","32801.0",2512101
"2020-04-22","PB","Queimadas",1,0,"True","43967.0",2512507
"2020-04-22","PB","Riachão do Poço",1,1,"True","4509.0",2512762
"2020-04-22","PB","Santa Rita",25,3,"True","136586.0",2513703
"2020-04-22","PB","São Bento",1,0,"True","34031.0",2513901
"2020-04-22","PB","Sapé",8,1,"True","52625.0",2515302
"2020-04-22","PB","Serra Branca",1,0,"True","13699.0",2515500
"2020-04-22","PB","Sousa",2,0,"True","69444.0",2516201
"2020-04-22","PB","Taperoá",1,1,"True","15376.0",2516508
"2020-04-21","PB","São João do Rio do Peixe",1,0,"False","18034.0",2500700
"2020-04-21","PB","Bayeux",9,1,"False","96880.0",2501807
"2020-04-21","PB","Bom Jesus",1,0,"False","2561.0",2502201
"2020-04-21","PB","Igaracy",1,0,"False","6117.0",2502607
"2020-04-21","PB","Cabedelo",12,2,"False","67736.0",2503209
"2020-04-21","PB","Cajazeiras",2,1,"False","61993.0",2503704
"2020-04-21","PB","Campina Grande",20,2,"False","409731.0",2504009
"2020-04-21","PB","Conde",1,0,"False","24670.0",2504603
"2020-04-21","PB","Congo",1,0,"False","4786.0",2504702
"2020-04-21","PB","Cruz do Espírito Santo",1,0,"False","17319.0",2504900
"2020-04-21","PB","Itabaiana",1,0,"False","24477.0",2506905
"2020-04-21","PB","João Pessoa",205,25,"False","809015.0",2507507
"2020-04-21","PB","Junco do Seridó",3,1,"False","7150.0",2507804
"2020-04-21","PB","Patos",8,2,"False","107605.0",2510808
"2020-04-21","PB","Pombal",2,0,"False","32801.0",2512101
"2020-04-21","PB","Queimadas",1,0,"False","43967.0",2512507
"2020-04-21","PB","Riachão do Poço",1,1,"False","4509.0",2512762
"2020-04-21","PB","Santa Rita",24,2,"False","136586.0",2513703
"2020-04-21","PB","São Bento",1,0,"False","34031.0",2513901
"2020-04-21","PB","Sapé",3,1,"False","52625.0",2515302
"2020-04-21","PB","Serra Branca",1,0,"False","13699.0",2515500
"2020-04-21","PB","Sousa",1,0,"False","69444.0",2516201
"2020-04-21","PB","Taperoá",1,1,"False","15376.0",2516508
"2020-04-20","PB","São João do Rio do Peixe",1,0,"False","18034.0",2500700
"2020-04-20","PB","Bayeux",9,1,"False","96880.0",2501807
"2020-04-20","PB","Bom Jesus",1,0,"False","2561.0",2502201
