epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
25,2020-06-19,30,PB,Água Branca,2500106,city,17,166.11296,0,2,0,0.1176,10234,True,False
25,2020-06-19,32,PB,Aguiar,2500205,city,3,53.19149,0,0,0,0.0,5640,True,False
25,2020-06-19,57,PB,Alagoa Grande,2500304,city,250,877.31611,0,6,0,0.024,28496,True,False
25,2020-06-19,59,PB,Alagoa Nova,2500403,city,108,518.01046,0,2,0,0.0185,20849,True,False
25,2020-06-19,47,PB,Alagoinha,2500502,city,261,1801.36655,0,1,0,0.0038,14489,True,False
25,2020-06-19,24,PB,Alcantil,2500536,city,6,109.24982,0,0,0,0.0,5492,True,False
25,2020-06-19,52,PB,Alhandra,2500601,city,258,1317.13294,0,7,0,0.0271,19588,True,False
25,2020-06-19,36,PB,Amparo,2500734,city,12,536.19303,0,0,0,0.0,2238,True,False
25,2020-06-19,31,PB,Aparecida,2500775,city,13,155.74458,0,0,0,0.0,8347,True,False
25,2020-06-19,53,PB,Araçagi,2500809,city,115,676.98829,0,0,0,0.0,16987,True,False
25,2020-06-19,36,PB,Arara,2500908,city,46,341.49963,0,0,0,0.0,13470,True,False
25,2020-06-19,29,PB,Araruna,2501005,city,23,113.23356,0,1,0,0.0435,20312,True,False
25,2020-06-19,56,PB,Areia,2501104,city,112,490.81905,0,1,0,0.0089,22819,True,False
25,2020-06-19,25,PB,Areia de Baraúnas,2501153,city,1,46.99248,0,0,0,0.0,2128,True,False
25,2020-06-19,38,PB,Areial,2501203,city,18,257.21635,0,1,0,0.0556,6998,True,False
25,2020-06-19,41,PB,Aroeiras,2501302,city,67,349.81465,0,0,0,0.0,19153,True,False
25,2020-06-19,26,PB,Assunção,2501351,city,20,501.25313,0,0,0,0.0,3990,True,False
25,2020-06-19,44,PB,Baía da Traição,2501401,city,112,1245.4131,0,1,0,0.0089,8993,True,False
25,2020-06-19,43,PB,Bananeiras,2501500,city,56,262.68881,0,0,0,0.0,21318,True,False
25,2020-06-19,22,PB,Baraúna,2501534,city,82,1676.20605,0,0,0,0.0,4892,True,False
25,2020-06-19,41,PB,Barra de Santana,2501575,city,38,454.59983,0,0,0,0.0,8359,True,False
