data,ultima_atualizacao,municipio,codigo,mesorregiao,microrregiao,confirmadosAcumulados,mortesAcumuladas
2020-06-02,True,Água Branca,2500106,SERTAO PARAIBANO,SERRA DO TEIXEIRA,3,1
2020-06-02,True,Aguiar,2500205,SERTAO PARAIBANO,PIANCO,1,0
2020-06-02,True,Alagoa Grande,2500304,AGRESTE PARAIBANO,BREJO PARAIBANO,87,1
2020-06-02,True,Alagoa Nova,2500403,AGRESTE PARAIBANO,BREJO PARAIBANO,38,1
2020-06-02,True,Alagoinha,2500502,AGRESTE PARAIBANO,GUARABIRA,113,0
2020-06-02,True,Alcantil,2500536,BORBOREMA,CARIRI ORIENTAL,4,0
2020-06-02,True,Algodão de Jandaíra,2500577,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,0,0
2020-06-02,True,Alhandra,2500601,MATA PARAIBANA,LITORAL SUL,144,4
2020-06-02,True,Amparo,2500734,BORBOREMA,CARIRI OCIDENTAL,12,0
2020-06-02,True,Aparecida,2500775,SERTAO PARAIBANO,SOUSA,8,0
2020-06-02,True,Araçagi,2500809,AGRESTE PARAIBANO,GUARABIRA,29,0
2020-06-02,True,Arara,2500908,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,17,0
2020-06-02,True,Araruna,2501005,AGRESTE PARAIBANO,CURIMATAU ORIENTAL,3,0
2020-06-02,True,Areia,2501104,AGRESTE PARAIBANO,BREJO PARAIBANO,57,1
2020-06-02,True,Areia de Baraúnas,2501153,SERTAO PARAIBANO,PATOS,1,0
2020-06-02,True,Areial,2501203,AGRESTE PARAIBANO,ESPERANCA,12,0
2020-06-02,True,Aroeiras,2501302,AGRESTE PARAIBANO,UMBUZEIRO,25,0
2020-06-02,True,Assunção,2501351,BORBOREMA,CARIRI OCIDENTAL,14,0
2020-06-02,True,Baía da Traição,2501401,MATA PARAIBANA,LITORAL NORTE,45,1
2020-06-02,True,Bananeiras,2501500,AGRESTE PARAIBANO,BREJO PARAIBANO,26,0
2020-06-02,True,Baraúna,2501534,BORBOREMA,SERIDO ORIENTAL PARAIBANO,27,0
2020-06-02,True,Barra de Santana,2501575,BORBOREMA,CARIRI ORIENTAL,18,0
2020-06-02,True,Barra de Santa Rosa,2501609,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,5,0
2020-06-02,True,Barra de São Miguel,2501708,BORBOREMA,CARIRI ORIENTAL,3,1
2020-06-02,True,Bayeux,2501807,MATA PARAIBANA,JOAO PESSOA,346,21
2020-06-02,True,Belém,2501906,AGRESTE PARAIBANO,GUARABIRA,40,0
2020-06-02,True,Belém do Brejo do Cruz,2502003,SERTAO PARAIBANO,CATOLE DO ROCHA,2,0
2020-06-02,True,Bernardino Batista,2502052,SERTAO PARAIBANO,CAJAZEIRAS,0,0
2020-06-02,True,Boa Ventura,2502102,SERTAO PARAIBANO,ITAPORANGA,1,0
2020-06-02,True,Boa Vista,2502151,AGRESTE PARAIBANO,CAMPINA GRANDE,31,0
2020-06-02,True,Bom Jesus,2502201,SERTAO PARAIBANO,CAJAZEIRAS,1,0
2020-06-02,True,Bom Sucesso,2502300,SERTAO PARAIBANO,CATOLE DO ROCHA,0,0
2020-06-02,True,Bonito de Santa Fé,2502409,SERTAO PARAIBANO,CAJAZEIRAS,1,0
2020-06-02,True,Boqueirão,2502508,BORBOREMA,CARIRI ORIENTAL,28,1
2020-06-02,True,Borborema,2502706,AGRESTE PARAIBANO,BREJO PARAIBANO,1,0
2020-06-02,True,Brejo do Cruz,2502805,SERTAO PARAIBANO,CATOLE DO ROCHA,4,1
2020-06-02,True,Brejo dos Santos,2502904,SERTAO PARAIBANO,CATOLE DO ROCHA,0,0
2020-06-02,True,Caaporã,2503001,MATA PARAIBANA,LITORAL SUL,392,6
2020-06-02,True,Cabaceiras,2503100,BORBOREMA,CARIRI ORIENTAL,1,0
2020-06-02,True,Cabedelo,2503209,MATA PARAIBANA,JOAO PESSOA,860,8
2020-06-02,True,Cachoeira dos Índios,2503308,SERTAO PARAIBANO,CAJAZEIRAS,7,1
2020-06-02,True,Cacimba de Areia,2503407,SERTAO PARAIBANO,PATOS,1,0
2020-06-02,True,Cacimba de Dentro,2503506,AGRESTE PARAIBANO,CURIMATAU ORIENTAL,27,0
