country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BR,Brazil,State of Paraíba,,,BR-PB,,2020-02-15,2,4,-20,6,4,1
BR,Brazil,State of Paraíba,,,BR-PB,,2020-02-16,-7,4,-26,9,-1,3
BR,Brazil,State of Paraíba,,,BR-PB,,2020-02-17,-7,-2,-13,7,17,-1
BR,Brazil,State of Paraíba,,,BR-PB,,2020-02-18,-3,-3,-16,0,16,-1
BR,Brazil,State of Paraíba,,,BR-PB,,2020-02-19,-4,-2,-14,3,14,-1
BR,Brazil,State of Paraíba,,,BR-PB,,2020-02-20,-4,0,-22,3,11,0
BR,Brazil,State of Paraíba,,,BR-PB,,2020-02-21,0,9,-20,6,14,-1
BR,Brazil,State of Paraíba,,,BR-PB,,2020-02-22,-3,8,-11,-2,-5,0
BR,Brazil,State of Paraíba,,,BR-PB,,2020-02-23,-6,3,0,-19,-7,2
BR,Brazil,State of Paraíba,,,BR-PB,,2020-02-24,-23,-20,61,-38,-52,7
BR,Brazil,State of Paraíba,,,BR-PB,,2020-02-25,-26,-39,76,-34,-60,4
BR,Brazil,State of Paraíba,,,BR-PB,,2020-02-26,-19,-13,-5,-13,-23,3
BR,Brazil,State of Paraíba,,,BR-PB,,2020-02-27,-9,-1,-17,-3,12,0
BR,Brazil,State of Paraíba,,,BR-PB,,2020-02-28,-7,4,-26,-6,15,1
BR,Brazil,State of Paraíba,,,BR-PB,,2020-02-29,-2,8,-26,-4,2,3
BR,Brazil,State of Paraíba,,,BR-PB,,2020-03-01,-17,3,-42,-14,-5,6
BR,Brazil,State of Paraíba,,,BR-PB,,2020-03-02,-7,3,-30,-2,20,-1
BR,Brazil,State of Paraíba,,,BR-PB,,2020-03-03,-4,3,-21,-1,17,-1
BR,Brazil,State of Paraíba,,,BR-PB,,2020-03-04,-4,1,-21,0,16,-1
BR,Brazil,State of Paraíba,,,BR-PB,,2020-03-05,-2,4,-14,1,18,-2
BR,Brazil,State of Paraíba,,,BR-PB,,2020-03-06,1,7,-20,1,19,-1
BR,Brazil,State of Paraíba,,,BR-PB,,2020-03-07,6,10,-26,-1,3,2
BR,Brazil,State of Paraíba,,,BR-PB,,2020-03-08,3,7,-22,-2,1,3
BR,Brazil,State of Paraíba,,,BR-PB,,2020-03-09,-6,2,-23,-2,20,-1
BR,Brazil,State of Paraíba,,,BR-PB,,2020-03-10,-1,2,-16,1,19,-2
BR,Brazil,State of Paraíba,,,BR-PB,,2020-03-11,-5,-2,-17,-1,17,-1
BR,Brazil,State of Paraíba,,,BR-PB,,2020-03-12,-9,-4,-25,-3,16,-1
BR,Brazil,State of Paraíba,,,BR-PB,,2020-03-13,-8,1,-30,-2,18,0
BR,Brazil,State of Paraíba,,,BR-PB,,2020-03-14,-4,4,-30,-3,3,2
BR,Brazil,State of Paraíba,,,BR-PB,,2020-03-15,-17,1,-40,-11,-2,5
BR,Brazil,State of Paraíba,,,BR-PB,,2020-03-16,-14,1,-32,-4,18,0
BR,Brazil,State of Paraíba,,,BR-PB,,2020-03-17,-15,7,-25,-9,12,1
BR,Brazil,State of Paraíba,,,BR-PB,,2020-03-18,-24,2,-30,-16,-6,6
BR,Brazil,State of Paraíba,,,BR-PB,,2020-03-19,-31,-1,-32,-24,-13,8
BR,Brazil,State of Paraíba,,,BR-PB,,2020-03-20,-44,5,-47,-29,-18,11
BR,Brazil,State of Paraíba,,,BR-PB,,2020-03-21,-60,-8,-65,-43,-26,13
BR,Brazil,State of Paraíba,,,BR-PB,,2020-03-22,-77,-32,-76,-58,-35,18
BR,Brazil,State of Paraíba,,,BR-PB,,2020-03-23,-75,-32,-66,-64,-47,19
