data,ultima_atualizacao,municipio,codigo,mesorregiao,microrregiao,confirmadosAcumulados,mortesAcumuladas
2020-07-19,True,Água Branca,2500106,SERTAO PARAIBANO,SERRA DO TEIXEIRA,43,2
2020-07-19,True,Aguiar,2500205,SERTAO PARAIBANO,PIANCO,20,0
2020-07-19,True,Alagoa Grande,2500304,AGRESTE PARAIBANO,BREJO PARAIBANO,633,13
2020-07-19,True,Alagoa Nova,2500403,AGRESTE PARAIBANO,BREJO PARAIBANO,220,6
2020-07-19,True,Alagoinha,2500502,AGRESTE PARAIBANO,GUARABIRA,619,3
2020-07-19,True,Alcantil,2500536,BORBOREMA,CARIRI ORIENTAL,26,0
2020-07-19,True,Algodão de Jandaíra,2500577,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,4,0
2020-07-19,True,Alhandra,2500601,MATA PARAIBANA,LITORAL SUL,468,14
2020-07-19,True,Amparo,2500734,BORBOREMA,CARIRI OCIDENTAL,13,0
2020-07-19,True,Aparecida,2500775,SERTAO PARAIBANO,SOUSA,49,1
2020-07-19,True,Araçagi,2500809,AGRESTE PARAIBANO,GUARABIRA,396,2
2020-07-19,True,Arara,2500908,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,140,3
2020-07-19,True,Araruna,2501005,AGRESTE PARAIBANO,CURIMATAU ORIENTAL,176,5
2020-07-19,True,Areia,2501104,AGRESTE PARAIBANO,BREJO PARAIBANO,219,2
2020-07-19,True,Areia de Baraúnas,2501153,SERTAO PARAIBANO,PATOS,7,0
2020-07-19,True,Areial,2501203,AGRESTE PARAIBANO,ESPERANCA,37,2
2020-07-19,True,Aroeiras,2501302,AGRESTE PARAIBANO,UMBUZEIRO,142,0
2020-07-19,True,Assunção,2501351,BORBOREMA,CARIRI OCIDENTAL,31,0
2020-07-19,True,Baía da Traição,2501401,MATA PARAIBANA,LITORAL NORTE,359,4
2020-07-19,True,Bananeiras,2501500,AGRESTE PARAIBANO,BREJO PARAIBANO,108,1
2020-07-19,True,Baraúna,2501534,BORBOREMA,SERIDO ORIENTAL PARAIBANO,120,0
2020-07-19,True,Barra de Santa Rosa,2501575,BORBOREMA,CARIRI ORIENTAL,32,1
2020-07-19,True,Barra de Santana,2501609,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,72,2
2020-07-19,True,Barra de São Miguel,2501708,BORBOREMA,CARIRI ORIENTAL,23,1
2020-07-19,True,Bayeux,2501807,MATA PARAIBANA,JOAO PESSOA,1157,61
2020-07-19,True,Belém,2501906,AGRESTE PARAIBANO,GUARABIRA,549,7
2020-07-19,True,Belém do Brejo do Cruz,2502003,SERTAO PARAIBANO,CATOLE DO ROCHA,16,0
2020-07-19,True,Bernardino Batista,2502052,SERTAO PARAIBANO,CAJAZEIRAS,4,0
2020-07-19,True,Boa Ventura,2502102,SERTAO PARAIBANO,ITAPORANGA,3,0
2020-07-19,True,Boa Vista,2502151,AGRESTE PARAIBANO,CAMPINA GRANDE,62,1
2020-07-19,True,Bom Jesus,2502201,SERTAO PARAIBANO,CAJAZEIRAS,8,0
2020-07-19,True,Bom Sucesso,2502300,SERTAO PARAIBANO,CATOLE DO ROCHA,9,0
2020-07-19,True,Bonito de Santa Fé,2502409,SERTAO PARAIBANO,CAJAZEIRAS,11,1
2020-07-19,True,Boqueirão,2502508,BORBOREMA,CARIRI ORIENTAL,235,4
