data,ultima_atualizacao,microrregiao,mesorregiao,confirmadosAcumulados,mortesAcumuladas
2020-07-25,True,BREJO PARAIBANO,AGRESTE PARAIBANO,1628,28
2020-07-25,True,CAJAZEIRAS,SERTAO PARAIBANO,1605,34
2020-07-25,True,CAMPINA GRANDE,AGRESTE PARAIBANO,12241,248
2020-07-25,True,CARIRI OCIDENTAL,BORBOREMA,847,7
2020-07-25,True,CARIRI ORIENTAL,BORBOREMA,721,9
2020-07-25,True,CATOLE DO ROCHA,SERTAO PARAIBANO,1706,32
2020-07-25,True,CURIMATAU OCIDENTAL,AGRESTE PARAIBANO,943,13
2020-07-25,True,CURIMATAU ORIENTAL,AGRESTE PARAIBANO,1057,14
2020-07-25,True,ESPERANCA,AGRESTE PARAIBANO,633,9
2020-07-25,True,GUARABIRA,AGRESTE PARAIBANO,6727,74
2020-07-25,True,ITABAIANA,AGRESTE PARAIBANO,3274,34
2020-07-25,True,ITAPORANGA,SERTAO PARAIBANO,441,5
2020-07-25,True,JOAO PESSOA,MATA PARAIBANA,26308,825
2020-07-25,True,LITORAL NORTE,MATA PARAIBANA,4658,75
2020-07-25,True,LITORAL SUL,MATA PARAIBANA,3128,53
2020-07-25,True,PATOS,SERTAO PARAIBANO,2544,69
2020-07-25,True,PIANCO,SERTAO PARAIBANO,349,8
2020-07-25,True,SAPE,MATA PARAIBANA,3133,74
2020-07-25,True,SERIDO OCIDENTAL PARAIBANO,BORBOREMA,488,12
2020-07-25,True,SERIDO ORIENTAL PARAIBANO,BORBOREMA,648,3
2020-07-25,True,SERRA DO TEIXEIRA,SERTAO PARAIBANO,491,14
2020-07-25,True,SOUSA,SERTAO PARAIBANO,1750,29
2020-07-25,True,UMBUZEIRO,AGRESTE PARAIBANO,403,6
