epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
29,2020-07-17,58,PB,Água Branca,2500106,city,40,390.85402,0,2,0,0.05,10234,False,True
29,2020-07-17,60,PB,Aguiar,2500205,city,20,354.60993,0,0,0,0.0,5640,False,True
29,2020-07-17,85,PB,Alagoa Grande,2500304,city,617,2165.21617,0,11,0,0.0178,28496,False,True
29,2020-07-17,87,PB,Alagoa Nova,2500403,city,219,1050.41009,0,6,0,0.0274,20849,False,True
29,2020-07-17,75,PB,Alagoinha,2500502,city,609,4203.18863,0,3,0,0.0049,14489,False,True
29,2020-07-17,52,PB,Alcantil,2500536,city,26,473.41588,0,0,0,0.0,5492,False,True
29,2020-07-17,30,PB,Algodão de Jandaíra,2500577,city,4,155.82392,0,0,0,0.0,2567,False,True
29,2020-07-17,80,PB,Alhandra,2500601,city,465,2373.90239,0,13,0,0.028,19588,False,True
29,2020-07-17,64,PB,Amparo,2500734,city,12,536.19303,0,0,0,0.0,2238,False,True
29,2020-07-17,59,PB,Aparecida,2500775,city,41,491.19444,0,1,0,0.0244,8347,False,True
29,2020-07-17,81,PB,Araçagi,2500809,city,401,2360.62872,0,2,0,0.005,16987,False,True
29,2020-07-17,64,PB,Arara,2500908,city,139,1031.92279,0,3,0,0.0216,13470,False,True
29,2020-07-17,57,PB,Araruna,2501005,city,176,866.48287,0,5,0,0.0284,20312,False,True
29,2020-07-17,84,PB,Areia,2501104,city,218,955.34423,0,2,0,0.0092,22819,False,True
29,2020-07-17,53,PB,Areia de Baraúnas,2501153,city,7,328.94737,0,0,0,0.0,2128,False,True
29,2020-07-17,66,PB,Areial,2501203,city,37,528.72249,0,2,0,0.0541,6998,False,True
29,2020-07-17,69,PB,Aroeiras,2501302,city,127,663.0815,0,0,0,0.0,19153,False,True
29,2020-07-17,54,PB,Assunção,2501351,city,30,751.8797,0,0,0,0.0,3990,False,True
29,2020-07-17,72,PB,Baía da Traição,2501401,city,349,3880.79617,0,4,0,0.0115,8993,False,True
29,2020-07-17,71,PB,Bananeiras,2501500,city,107,501.92326,0,1,0,0.0093,21318,False,True
29,2020-07-17,50,PB,Baraúna,2501534,city,120,2452.98446,0,0,0,0.0,4892,False,True
29,2020-07-17,69,PB,Barra de Santana,2501575,city,71,849.3839,0,2,0,0.0282,8359,False,True
29,2020-07-17,58,PB,Barra de Santa Rosa,2501609,city,32,208.00832,0,1,0,0.0312,15384,False,True
29,2020-07-17,87,PB,Barra de São Miguel,2501708,city,20,331.34526,0,1,0,0.05,6036,False,True
29,2020-07-17,101,PB,Bayeux,2501807,city,1130,1166.39141,0,59,0,0.0522,96880,False,True
