epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
31,2020-07-27,138,PB,,25,state,76693,1908.67536,540,1727,29,0.0225,4018127,True,False
31,2020-07-26,137,PB,,25,state,76153,1895.23626,430,1698,23,0.0223,4018127,False,False
30,2020-07-25,136,PB,,25,state,75723,1884.53476,1173,1675,22,0.0221,4018127,False,False
30,2020-07-24,135,PB,,25,state,74550,1855.34205,1446,1653,35,0.0222,4018127,False,False
30,2020-07-23,134,PB,,25,state,73104,1819.35514,2132,1618,37,0.0221,4018127,False,False
30,2020-07-22,133,PB,,25,state,70972,1766.29559,2128,1581,23,0.0223,4018127,False,False
30,2020-07-21,132,PB,,25,state,68844,1713.33559,1164,1558,41,0.0226,4018127,False,False
30,2020-07-20,131,PB,,25,state,67680,1684.36687,298,1517,31,0.0224,4018127,False,False
30,2020-07-19,130,PB,,25,state,67382,1676.95048,411,1486,9,0.0221,4018127,False,False
29,2020-07-18,129,PB,,25,state,66971,1666.72183,624,1477,31,0.0221,4018127,False,False
29,2020-07-17,128,PB,,25,state,66347,1651.19221,924,1446,28,0.0218,4018127,False,False
29,2020-07-16,127,PB,,25,state,65423,1628.19642,1484,1418,35,0.0217,4018127,False,False
29,2020-07-15,126,PB,,25,state,63939,1591.26379,1477,1383,41,0.0216,4018127,False,False
29,2020-07-14,125,PB,,25,state,62462,1554.50537,1354,1342,40,0.0215,4018127,False,False
29,2020-07-13,124,PB,,25,state,61108,1520.80808,324,1302,18,0.0213,4018127,False,False
29,2020-07-12,123,PB,,25,state,60784,1512.74462,363,1284,34,0.0211,4018127,False,False
28,2020-07-11,122,PB,,25,state,60421,1503.71056,1303,1250,21,0.0207,4018127,False,False
28,2020-07-10,121,PB,,25,state,59118,1471.28252,1504,1229,33,0.0208,4018127,False,False
28,2020-07-09,120,PB,,25,state,57614,1433.85214,1270,1196,25,0.0208,4018127,False,False
